model,register,rarity,layer,auroc,ci_lo,ci_hi,n
qwen2.5-7b-instruct,textbook,common,19,0.7748981439565413,0.7145767315527388,0.8314848347668627,188.0
qwen2.5-7b-instruct,textbook,rare,19,0.875,0.75,1.0,8.0
qwen2.5-7b-instruct,patient,common,19,0.7181837942277502,0.6919585798816568,0.7462591474459606,910.0
qwen2.5-7b-instruct,patient,rare,19,0.7887811634349031,0.7035837950138505,0.8698234072022161,76.0
qwen2.5-7b-instruct,clinical_note,common,19,0.6793044318319044,0.6513267721289698,0.7071706315662359,910.0
qwen2.5-7b-instruct,clinical_note,rare,19,0.7970914127423823,0.7105263157894738,0.8781163434903047,76.0
qwen2.5-7b-instruct,colloquial,common,19,0.7284337640381597,0.69967274483758,0.7559878034053857,910.0
qwen2.5-7b-instruct,colloquial,rare,19,0.8109418282548476,0.7118940443213296,0.8933691135734072,76.0
qwen2.5-7b-instruct,textbook,common,21,0.7853100950656405,0.7220433454051607,0.8452071072883657,188.0
qwen2.5-7b-instruct,textbook,rare,21,0.8125,0.75,1.0,8.0
qwen2.5-7b-instruct,patient,common,21,0.7399686028257457,0.7151200338123415,0.7675366501630237,910.0
qwen2.5-7b-instruct,patient,rare,21,0.824792243767313,0.7423130193905817,0.9023545706371192,76.0
qwen2.5-7b-instruct,clinical_note,common,21,0.6881197922956166,0.661534838787586,0.7152916314454777,910.0
qwen2.5-7b-instruct,clinical_note,rare,21,0.7513850415512465,0.6530124653739613,0.8421225761772853,76.0
qwen2.5-7b-instruct,colloquial,common,21,0.7353749547156141,0.7058271947832387,0.7641225697379543,910.0
qwen2.5-7b-instruct,colloquial,rare,21,0.8109418282548476,0.7091239612188366,0.8981994459833795,76.0
qwen2.5-7b-instruct,textbook,common,23,0.7905160706201902,0.724309642372114,0.8501754187415119,188.0
qwen2.5-7b-instruct,textbook,rare,23,0.75,0.6875,1.0,8.0
qwen2.5-7b-instruct,patient,common,23,0.7401135128607657,0.7152911484120276,0.7667188745320614,910.0
qwen2.5-7b-instruct,patient,rare,23,0.8677285318559557,0.7956890581717452,0.9349030470914128,76.0
qwen2.5-7b-instruct,clinical_note,common,23,0.7084120275329067,0.6805768626977419,0.7349398623354667,910.0
qwen2.5-7b-instruct,clinical_note,rare,23,0.7721606648199446,0.6717278393351801,0.8573580332409972,76.0
qwen2.5-7b-instruct,colloquial,common,23,0.7332157951938173,0.7062677212896994,0.7615111701485328,910.0
qwen2.5-7b-instruct,colloquial,rare,23,0.8268698060941827,0.738209833795014,0.9092797783933518,76.0
qwen2.5-7b-instruct,textbook,common,25,0.767089180624717,0.7017739927569034,0.8269720461747397,188.0
qwen2.5-7b-instruct,textbook,rare,25,0.875,0.75,1.0,8.0
qwen2.5-7b-instruct,patient,common,25,0.7207825141891075,0.6948459123294288,0.7495577828764642,910.0
qwen2.5-7b-instruct,patient,rare,25,0.8213296398891967,0.7285145429362881,0.9065096952908588,76.0
